Building Address,"Building Type
(Commercial Buildings1, 
Healthcare Facilities2, 
Educational Institutions3)","Building Size
(Large Size Commercial Buildings: 
i) Office Building, Retail Building, and Mixed Development - GFA ≥ 15,000 m2
ii) Hotel - GFA ≥ 7,000 m2

Small Size Commercial Buildings:: 
i) Office Building, Retail Building, and Mixed Development - GFA < 15,000 m2
ii) Hotel - GFA < 7,000 m2)",Public Sector,Year Obtained TOP/CSC,Green Mark Year of Award,Green Mark Rating,"Green Mark Status 
(Yes – Green Mark building;
No – non-Green Mark building)",Gross Floor Area (m2),Percentage of Air-conditioned Floor Area (%),Average Monthly Building Occupancy Rate (%) ,Number of Hotel Rooms,Type of Air-conditioning System,"Age of Newest Chiller/Air-conditioner
",Centralised Air-conditioning Plant Efficiency (kW/RT),Year of Last Chiller Plant Audit/ Health Check,Percentage Usage of LED (%),Installation of Solar PV (Y/N),"2016
Energy Use Intensity (EUI)
(kWh/m2.yr) ","2017
Energy Use Intensity
(EUI) 
(kWh/m2.yr) ","2018
Energy Use Intensity (EUI)
(kWh/m2.yr) ",EUI Performance Compared to the Previous Year (Improve/ Worsen),"Benchmarking - 
EUI Quartile",Voluntary Disclosure,postal_code,lat,lon,plan_area
"57 MOHAMED SULTAN ROAD, SINGAPORE 238997",Office,Small,No,2011.0,2011.0,Certified,Yes,2853.0,0.7448300035050823,80.0,,"Others (Split Units, Unitary Systems)",2011.0,,,20.0,N,140.08359270942867,140.65753943217663,134.3559411146162,Improved,2nd Quartile,Y,238997,1.29195461036688,103.839607417226,RIVER VALLEY
"55 MOHAMED SULTAN ROAD, SINGAPORE 238995",Office,Small,No,2011.0,2011.0,Certified,Yes,757.0,1.0,80.0,,"Others (Split Units, Unitary Systems)",2011.0,,,90.0,N,99.6565389696169,116.35138705416117,108.41479524438573,Improved,Top Quartile,Y,238995,1.29181896422975,103.840009177008,RIVER VALLEY
"63 MOHAMED SULTAN ROAD, SINGAPORE 239002",Office,Small,No,2011.0,2011.0,Certified,Yes,1063.0,0.8353715898400753,100.0,,"Others (Split Units, Unitary Systems)",2011.0,,,90.0,N,104.4967074317968,111.58795860771401,140.59984948259643,Worsened,2nd Quartile,Y,239002,1.29181896368228,103.840009177008,RIVER VALLEY
"61 MOHAMED SULTAN ROAD, SINGAPORE 239001",Office,Small,No,2011.0,2011.0,Certified,Yes,2601.0,0.73279507881584,100.0,,"Others (Split Units, Unitary Systems)",2011.0,,,20.0,N,151.26951172625914,141.88235294117646,144.67081507112647,Worsened,2nd Quartile,Y,239001,1.29195461064061,103.839607417498,RIVER VALLEY
"59 MOHAMED SULTAN ROAD, SINGAPORE 238999",Office,Small,No,2011.0,2011.0,Certified,Yes,2677.0,0.7407545760179305,90.0,,"Others (Split Units, Unitary Systems)",2011.0,,,20.0,N,56.041628688830784,54.667631677250654,56.21816212177811,Worsened,Top Quartile,Y,238999,1.29195461064061,103.839607417498,RIVER VALLEY
"53 MOHAMED SULTAN ROAD, SINGAPORE 238993",Office,Small,No,2011.0,2011.0,Certified,Yes,2181.0,0.6817973406694177,100.0,,"Others (Split Units, Unitary Systems)",2011.0,,,50.0,N,246.6937184777625,239.58535534158642,271.61018340210916,Worsened,Bottom Quartile,Y,238993,1.29202329875565,103.840230220835,RIVER VALLEY
"20 COLLEGE ROAD, SINGAPORE 169856",General Hospital/ Specialist Centre (Public),Large,No,2013.0,,,No,75311.0,0.6886112254517932,90.0,,Water Cooled Chilled Water Plant,5.0,,,25.0,N,512.9356933250123,497.02550092283997,459.85184767165487,Improved,Not benchmarked,Y,169856,1.28167038083872,103.83558550671,BUKIT MERAH
"7 CHANGI BUSINESS PARK VISTA, SINGAPORE 486042",Office,Small,No,2015.0,,,No,12752.0,0.622961104140527,70.0,,District Cooling Plant,3.0,,,100.0,N,48.6500156838143,44.09821204516939,70.0057073400251,Worsened,Not benchmarked,Y,486042,1.33824039424584,103.965227334327,TAMPINES
"510 DOVER ROAD, SINGAPORE 139660",Univerisity,Large,No,2015.0,2013.0,Platinum,Yes,20100.0,0.4860199004975124,80.0,,Water Cooled Chilled Water Plant,3.0,0.6,2014.0,20.0,N,108.80577114427861,101.23665373134328,128.96956119402986,Worsened,Not benchmarked,Y,139660,1.30797570313315,103.777733041672,QUEENSTOWN
"832 THOMSON ROAD, SINGAPORE 574627",Nursing Home,Small,No,2016.0,2016.0,Platinum,Yes,13319.0,0.7773856896163376,85.0,,"Others (Split Units, Unitary Systems)",2016.0,,,70.0,N,11.81695322471657,125.3473669194384,126.66896613859899,Worsened,Not benchmarked,Y,574627,1.34244145248853,103.838845643326,TOA PAYOH
"51 SCOTTS ROAD, SINGAPORE 228241",Office,Large,No,2008.0,,,No,15645.0,0.8910194950463407,89.0,,"Others (Split Units, Unitary Systems)",10.0,,,100.0,N,225.2751677852349,217.85139022051774,206.44199424736337,Improved,3rd Quartile,Y,228241,1.31340140231974,103.836884899442,NEWTON
"20 EVANS ROAD, SINGAPORE 259365",Univerisity,Small,No,2016.0,,,No,1000.0,0.9,100.0,,Water Cooled Packaged Unit,3.0,,,100.0,N,29.61,39.82,45.374,Worsened,Not benchmarked,Y,259365,1.3180479698835,103.81992629153,TANGLIN
"50 CHIN SWEE ROAD, SINGAPORE 169874",Private Clinic,Small,No,2012.0,,,No,5232.0,0.023509174311926607,80.0,,Water Cooled Chilled Water Plant,10.0,,,100.0,N,196.58925840978594,190.05240443425075,192.7493138379205,Worsened,Not benchmarked,Y,169874,1.28765813381769,103.840294172925,OUTRAM
"7 HAMILTON ROAD, SINGAPORE 209178",Hotel,Small,No,1939.0,,,No,222.0,1.0,60.0,6.0,Water Cooled Packaged Unit,5.0,,,0.0,N,440.8397297297297,396.45054054054054,404.57247747747743,Worsened,Bottom Quartile,Y,209178,1.31135962244886,103.860702794924,KALLANG
"118 HOLLAND AVENUE, SINGAPORE 278997",Retail,Small,No,2018.0,2016.0,Certified,Yes,6011.0,0.8151721843287306,100.0,,Water Cooled Chilled Water Plant,2.0,0.57,2017.0,80.0,N,223.2931292630178,455.00221593744806,490.59299617368157,Worsened,Bottom Quartile,Y,278997,1.31056351475336,103.796107173318,BUKIT TIMAH
"50 EU TONG SEN STREET, SINGAPORE 059803",Office,Small,No,1973.0,,,No,779.0,0.668806161745828,100.0,1.0,"Others (Split Units, Unitary Systems)",2.0,,,10.0,N,145.9178433889602,143.88960205391527,140.18613607188703,Improved,2nd Quartile,Y,059803,1.28742160396681,103.845431906423,SINGAPORE RIVER
"2 VENTURE DRIVE, SINGAPORE 608526",Office,Large,No,2017.0,2016.0,GoldPlus,Yes,64562.0,0.8196462315293827,36.0,,Water Cooled Chilled Water Plant,2.0,,,78.0,N,27.2638084322047,66.00609336761563,92.36419565688796,Worsened,Top Quartile,Y,608526,1.33015172071471,103.744574631833,JURONG EAST
"9 JURONG TOWN HALL ROAD, SINGAPORE 609431",Office,Large,Yes,2017.0,2017.0,Platinum,Yes,26248.0,0.7619628162145687,40.0,,"Others (Split Units, Unitary Systems)",4.0,,,15.0,N,33.065604998476076,67.70146296860713,76.79116085035051,Worsened,Top Quartile,Y,609431,1.32872179304039,103.74193226099,JURONG EAST
"8 JURONG TOWN HALL ROAD, SINGAPORE 609434",Office,Large,Yes,2000.0,2018.0,Platinum,Yes,56527.0,0.9595060767420879,85.0,,Water Cooled Chilled Water Plant,14.0,0.62,2009.0,20.0,N,156.220611212341,141.86731491145824,141.04164204716332,Improved,2nd Quartile,Y,609434,1.3313634717169,103.741683568768,JURONG EAST
"1 FUSIONOPOLIS WAY, SINGAPORE 138632",Office,Large,Yes,2008.0,2016.0,Platinum,Yes,120384.0,0.7222780625171328,90.0,,District Cooling Plant,14.0,,,100.0,N,249.40810788809142,225.75358577551833,232.81226159622543,Worsened,Not benchmarked,Y,138632,1.29936328832972,103.787687643371,QUEENSTOWN
"11 BIOPOLIS WAY, SINGAPORE 138667",Office,Large,Yes,2008.0,2016.0,GoldPlus,Yes,170856.0,0.7191657177770989,94.0,,District Cooling Plant,11.5,0.05,2010.0,10.0,N,666.1684787739033,686.3555379383808,663.3395348129419,Improved,Not benchmarked,Y,138667,1.30442826742054,103.791696248238,QUEENSTOWN
"9 CHANGI BUSINESS PARK CENTRAL 1, SINGAPORE 486048",Office,Large,Yes,2003.0,2017.0,GoldPlus,Yes,16262.0,0.9531422949206739,80.0,,District Cooling Plant,20.0,,,95.0,N,144.95746218177345,102.00857213134915,94.92941520108228,Improved,Not benchmarked,Y,486048,1.33652341146658,103.965113516995,TAMPINES
"1 CLEANTECH LOOP, SINGAPORE 637141",Office,Large,Yes,2012.0,2018.0,Platinum,Yes,28800.0,0.7255902777777777,84.0,,Water Cooled Chilled Water Plant,5.0,,,75.0,N,297.5094194444444,302.96785138888885,293.75569270833336,Improved,Bottom Quartile,Y,637141,1.35539828173454,103.69237945253,WESTERN WATER CATCHMENT
"15 CHANGI BUSINESS PARK CENTRAL 1, SINGAPORE 486057",Office,Large,Yes,2001.0,2012.0,Gold,Yes,19040.0,0.7352941176470589,80.0,,District Cooling Plant,20.0,,,95.0,N,124.01270220588236,102.30784033613446,53.62974737394958,Improved,Not benchmarked,Y,486057,1.33734905463854,103.96397139661,TAMPINES
"3 CLEANTECH LOOP, SINGAPORE 637143",Office,Large,Yes,2014.0,2013.0,Platinum,Yes,22485.0,0.5203468979319547,65.0,,Water Cooled Chilled Water Plant,2.0,,,100.0,Y,133.40062263731377,156.9868801423171,170.18416366466533,Worsened,2nd Quartile,Y,637143,1.35523053316172,103.693447436835,WESTERN WATER CATCHMENT
"7 CHANGI BUSINESS PARK CENTRAL 1, SINGAPORE 486072",Office,Large,Yes,2000.0,2017.0,GoldPlus,Yes,15996.0,0.8752188047011753,100.0,,District Cooling Plant,20.0,,,85.0,N,147.4956007751938,133.7611384096024,133.2821780445111,Improved,Not benchmarked,Y,486072,1.33612409179148,103.964650994379,TAMPINES
"2 FUSIONOPOLIS WAY, SINGAPORE 138634",Office,Large,Yes,2015.0,2012.0,Platinum,Yes,41193.0,0.7383050518291943,85.0,,Water Cooled Chilled Water Plant,3.0,,,0.0,N,447.14469691452433,545.8540846745806,508.83251280557374,Improved,Bottom Quartile,Y,138634,1.29842618269904,103.788697913817,QUEENSTOWN
"6 FUSIONOPOLIS WAY, SINGAPORE 138636",Office,Large,Yes,2015.0,2012.0,Platinum,Yes,19173.0,1.0,100.0,,Water Cooled Chilled Water Plant,4.0,,,0.0,N,913.9265633964429,1040.4876649454964,1093.117900172117,Worsened,Bottom Quartile,Y,138636,1.2991104909562,103.788840649202,QUEENSTOWN
"4 FUSIONOPOLIS WAY, SINGAPORE 138635",Office,Large,Yes,2015.0,2012.0,Platinum,Yes,33123.0,0.7948253479455364,100.0,,Water Cooled Chilled Water Plant,4.0,,,0.0,N,289.7359490384325,286.714569332488,298.16723877668085,Worsened,Bottom Quartile,Y,138635,1.29814278430466,103.789148552727,QUEENSTOWN
"20 AYER RAJAH CRESCENT, SINGAPORE 139964",Office,Large,Yes,2000.0,,,No,38349.0,0.5576416594956843,88.0,,Water Cooled Chilled Water Plant,16.0,,,70.0,N,3216.00262573124,1898.5736141750763,1878.6090474327884,Improved,Bottom Quartile,Y,139964,1.29509968153534,103.789762872062,QUEENSTOWN
"320 ORCHARD ROAD, SINGAPORE 238865",Hotel,Large,No,1982.0,2014.0,Gold,Yes,76504.0,0.9158629807284869,82.0,392.0,Water Cooled Chilled Water Plant,6.0,0.54,2015.0,80.0,N,261.2331773502039,251.94099654920004,257.72035449126844,Worsened,2nd Quartile,Y,238865,1.30495005564842,103.832971130126,ORCHARD
"241 RIVER VALLEY ROAD, SINGAPORE 238298",Office,Small,No,2007.0,,,No,1608.0,0.44713930348258707,100.0,,"Others (Split Units, Unitary Systems)",11.0,,,40.0,N,140.99453980099503,136.0981592039801,139.43151741293534,Worsened,2nd Quartile,Y,238298,1.2942411409946,103.841855595007,RIVER VALLEY
"3 FRASER STREET, SINGAPORE 189352",Office,Large,No,2017.0,2013.0,Platinum,Yes,71715.0,0.8268702502963118,80.0,,Water Cooled Chilled Water Plant,2.0,,,0.0,N,23.64061911733947,133.9087011085547,269.44867182597784,Worsened,Bottom Quartile,Y,189352,1.2991629599519,103.857859536675,DOWNTOWN CORE
"9 AVIATION PARK ROAD, SINGAPORE 498760",Retail,Large,No,2007.0,,,No,51909.0,1.0,50.0,,Air Cooled Chilled Water Plant,10.0,,,0.0,N,35.18580592960758,35.10990387023445,40.309772871756344,Worsened,Top Quartile,Y,498760,1.36405147620377,104.022256780949,CHANGI
"46 HORNE ROAD, SINGAPORE 209068",Office,Small,No,1995.0,,,No,1306.0,0.8085758039816233,95.0,,"Others (Split Units, Unitary Systems)",2005.0,,,0.0,N,100.68529862174579,75.0093032159265,65.58621745788668,Improved,Top Quartile,Y,209068,1.30937950077082,103.862018585853,KALLANG
"44 HORNE ROAD, SINGAPORE 209067",Office,Small,No,1995.0,,,No,670.0,0.7164179104477612,95.0,,"Others (Split Units, Unitary Systems)",2005.0,,,0.0,N,104.6,105.46041791044776,107.91237313432835,Worsened,Top Quartile,Y,209067,1.3093266719998,103.862062340993,KALLANG
"730 UPPER SERANGOON ROAD, SINGAPORE 534613",Office,Small,No,1990.0,,,No,282.0,1.0,100.0,,"Others (Split Units, Unitary Systems)",28.0,,,0.0,N,577.5923758865248,581.6932978723405,509.67102836879434,Improved,Bottom Quartile,Y,534613,1.353366860232,103.878063138419,HOUGANG
"397 LORONG 2 TOA PAYOH, SINGAPORE 319639",Office,Small,No,1997.0,,,No,4179.0,0.20100502512562815,70.0,,"Others (Split Units, Unitary Systems)",6.0,,,70.0,N,67.11210815984685,56.483680306293365,55.19578368030629,Improved,Top Quartile,Y,319639,1.33669904090409,103.846407081525,TOA PAYOH
"25 GEYLANG EAST CENTRAL, SINGAPORE 389708",Nursing Home,Small,No,2018.0,,,No,7528.0,0.15170031880977683,90.0,,"Others (Split Units, Unitary Systems)",1.0,,,100.0,N,9.020324123273113,74.43423219978746,132.28413921360254,Worsened,Not benchmarked,Y,389708,1.31952569099753,103.887743408202,GEYLANG
"130 WEST COAST DRIVE, SINGAPORE 127444",Nursing Home,Small,No,2002.0,,,No,5788.0,0.17398064961990325,100.0,,"Others (Split Units, Unitary Systems)",2.0,,,95.0,N,62.20628887353144,73.30896682791983,85.55252246026261,Worsened,Not benchmarked,Y,127444,1.31113047034516,103.759443410427,CLEMENTI
"491 RIVER VALLEY ROAD, SINGAPORE 248371",Office,Large,No,1998.0,2016.0,Gold,Yes,27291.0,0.989337144113444,80.0,,"Others (Split Units, Unitary Systems)",20.0,,,100.0,N,474.66284855813274,456.11168517093546,423.6598145908908,Improved,Bottom Quartile,Y,248371,1.2930991715203,103.827046215651,TANGLIN
"32 HAMILTON ROAD, SINGAPORE 209201",Hotel,Small,No,2015.0,,,No,1013.0,0.9279368213228035,57.0,36.0,"Others (Split Units, Unitary Systems)",0.0,,,100.0,N,294.5653998025666,367.08811451135244,368.1055873642646,Worsened,Bottom Quartile,Y,209201,1.31137311219639,103.861422542127,KALLANG
"15 LORONG 15 GEYLANG, SINGAPORE 388607",Hotel,Small,No,1991.0,,,No,1376.0,1.0,60.0,80.0,"Others (Split Units, Unitary Systems)",6.0,,,10.0,N,218.83776889534886,193.0501671511628,199.28815406976744,Worsened,2nd Quartile,Y,388607,1.31316357981332,103.878050317387,GEYLANG
"7 HINDOO ROAD, SINGAPORE 209108",Office,Small,No,2004.0,,,No,2048.0,0.927734375,60.0,,"Others (Split Units, Unitary Systems)",1.0,,,0.0,N,72.01611328125,64.4677734375,53.69677734375,Improved,Top Quartile,Y,209108,1.30873484923478,103.853876125276,ROCHOR
"307 NEW BRIDGE ROAD, SINGAPORE 088757",Retail,Small,No,2011.0,,,No,1505.0,0.7016611295681063,100.0,,"Others (Split Units, Unitary Systems)",6.0,,,90.0,N,245.28352823920267,181.63199999999998,189.19396677740863,Worsened,Top Quartile,Y,088757,1.28118723397809,103.841260731877,OUTRAM
"32 PAGODA STREET, SINGAPORE 059191",Retail,Small,No,1997.0,,,No,162.0,1.0,100.0,,"Others (Split Units, Unitary Systems)",6.0,,,18.0,N,708.8827160493827,667.8462962962964,693.0615432098765,Worsened,Bottom Quartile,Y,059191,1.28335259412987,103.844664714919,OUTRAM
"11 JALAN PENJARA, SINGAPORE 149380",Nursing Home,Small,No,2016.0,2017.0,Certified,Yes,10992.0,0.16866812227074235,100.0,,Air Cooled Chilled Water Plant,2.0,,2018.0,100.0,N,3.841430131004367,45.06187772925764,90.96623089519652,Worsened,Not benchmarked,Y,149380,1.29815242110398,103.80803988653,QUEENSTOWN
"5 TAMPINES STREET 32, SINGAPORE 529284",Retail,Small,No,1996.0,,,No,9900.0,0.01,95.0,,"Others (Split Units, Unitary Systems)",2.0,,,0.0,N,143.58718282828283,136.06238787878786,128.59154343434344,Improved,Top Quartile,Y,529284,1.35430033554002,103.959985126114,TAMPINES
"150 CANTONMENT ROAD, SINGAPORE 089762",Office,Small,No,2008.0,,,No,4590.0,0.9028322440087146,50.0,,"Others (Split Units, Unitary Systems)",2009.0,,,10.0,N,188.83109150326797,168.36488671023963,104.69268845315905,Improved,Top Quartile,Y,089762,1.27401273070105,103.840640244023,BUKIT MERAH
"90 EU TONG SEN STREET, SINGAPORE 059811",Office,Small,No,1930.0,,,No,8906.0,0.4491354143274197,50.0,,"Others (Split Units, Unitary Systems)",2016.0,,,10.0,N,13.148439254435212,29.721086907702674,76.15352571300248,Worsened,Top Quartile,Y,059811,1.28304616890816,103.84161010818,OUTRAM
"54 MAUDE ROAD, SINGAPORE 208346",Office,Small,No,1984.0,,,No,1440.0,0.7777777777777778,100.0,,Water Cooled Packaged Unit,8.0,,,0.0,N,134.58265277777778,130.24700694444445,141.29429166666665,Worsened,2nd Quartile,Y,208346,1.30817285974835,103.858435880148,KALLANG
"1 FRANCIS THOMAS DRIVE, SINGAPORE 359340",Office,Small,No,2009.0,,,No,6691.0,0.49559109251233,22.0,,"Others (Split Units, Unitary Systems)",2005.0,,,0.0,N,64.07240621730682,45.90995516365267,51.20687490659095,Worsened,Top Quartile,Y,359340,1.3295858503808,103.865743519537,TOA PAYOH
"320 HAVELOCK ROAD, SINGAPORE 169628",Hotel,Small,No,2016.0,,,No,2102.0,1.0,100.0,37.0,"Others (Split Units, Unitary Systems)",2.0,,,95.0,N,28.18268315889629,325.2832064700286,318.11467649857275,Improved,3rd Quartile,Y,169628,1.2892018951161,103.83747259778,SINGAPORE RIVER
"20 HAVELOCK ROAD, SINGAPORE 059765",Hotel,Large,No,1998.0,,,No,17068.0,0.31731895945629246,70.0,127.0,"Others (Split Units, Unitary Systems)",0.0,,,1.0,N,185.11038935012883,180.91537086946332,182.00704944926179,Worsened,Top Quartile,Y,059765,1.28823635541239,103.843246450204,SINGAPORE RIVER
"9 BRAS BASAH ROAD, SINGAPORE 189559",Hotel,Large,No,1998.0,2017.0,GoldPlus,Yes,19720.0,0.6381338742393509,86.0,298.0,Water Cooled Chilled Water Plant,19.0,,,100.0,N,328.6715415821501,290.8482809330629,307.80598377281945,Worsened,3rd Quartile,Y,189559,1.29862529263979,103.849332451138,MUSEUM
"30 RAFFLES PLACE, SINGAPORE 048622",Office,Large,No,1993.0,,,No,37129.0,0.6949823588030919,98.0,,Water Cooled Chilled Water Plant,7.0,,,25.0,N,258.2108705741039,242.5494303644052,222.9798944221498,Improved,3rd Quartile,Y,048622,1.28421477965482,103.852008834004,DOWNTOWN CORE
"72 ELIZABETH DRIVE, SINGAPORE 669745",Nursing Home,Small,No,2012.0,,,No,4140.0,0.041304347826086954,70.0,,"Others (Split Units, Unitary Systems)",6.0,,,0.0,N,61.26936956521739,66.03178743961352,71.97907004830917,Worsened,Not benchmarked,Y,669745,1.36096898741719,103.761219046867,BUKIT BATOK
"2 YISHUN CENTRAL 2, SINGAPORE 768024",General Hospital/ Specialist Centre (Public),Large,No,2015.0,2014.0,Platinum,Yes,41325.0,0.5836902601330913,80.0,,Water Cooled Chilled Water Plant,3.0,0.59,2018.0,64.0,N,154.01752500855807,203.2224561403509,208.59274047186932,Worsened,Not benchmarked,Y,768024,1.4237674572872,103.837242211173,YISHUN
"10 PRINSEP LINK, SINGAPORE 187948",Office,Small,No,2001.0,,,No,10555.0,1.0,80.0,,"Others (Split Units, Unitary Systems)",5.0,,,55.0,N,783.4063874940787,790.4535158692562,797.0409000473709,Worsened,Bottom Quartile,Y,187948,1.30046735366415,103.850556061949,ROCHOR
"50 KEONG SAIK ROAD, SINGAPORE 089154",Hotel,Small,No,1929.0,,,No,1278.0,0.8215962441314554,80.0,33.0,"Others (Split Units, Unitary Systems)",5.0,,,50.0,N,278.02293427230046,267.4681611893584,191.72865414710486,Improved,2nd Quartile,Y,089154,1.28079216317408,103.841812323258,OUTRAM
"205 HOUGANG STREET 21, SINGAPORE 530205",Retail,Small,No,1984.0,,,No,13568.0,1.0,100.0,,Water Cooled Chilled Water Plant,14.0,,,100.0,N,583.9915595518868,572.9072354068396,569.4518543632075,Improved,Bottom Quartile,Y,530205,1.3594966483839,103.885079918915,HOUGANG
"55 NEWTON ROAD, SINGAPORE 307987",Office,Large,Yes,1996.0,2014.0,Platinum,Yes,86492.0,0.9640313555010868,100.0,,Water Cooled Chilled Water Plant,4.0,0.61,2016.0,69.0,N,173.17667807427276,165.6902488091384,165.02549368727745,Improved,2nd Quartile,Y,307987,1.31948959007238,103.841975308494,NOVENA
"10 ANSON ROAD, SINGAPORE 079903",Office,Large,No,1976.0,2012.0,GoldPlus,Yes,107758.0,0.9499990719946547,85.0,,Water Cooled Chilled Water Plant,1.0,0.66,2016.0,18.0,N,187.71145854600124,172.44764054640956,162.73232168377288,Improved,2nd Quartile,Y,079903,1.27581120588262,103.845955084997,DOWNTOWN CORE
"8 PRINCE GEORGES PARK, SINGAPORE 118407",Univerisity,Small,No,1950.0,,,No,254.0,0.7992125984251969,20.0,,"Others (Split Units, Unitary Systems)",15.0,,,0.0,N,96.8740157480315,10.71259842519685,6.606299212598425,Improved,Not benchmarked,Y,118407,1.29339030142183,103.777777802788,QUEENSTOWN
"20 LOWER KENT RIDGE ROAD, SINGAPORE 119080",Univerisity,Small,No,1979.0,,,No,3744.0,0.750267094017094,80.0,,"Others (Split Units, Unitary Systems)",10.0,,,0.0,N,,,,Improved,Not benchmarked,Y,119080,1.29903522873282,103.776523307961,QUEENSTOWN
"8 COLLEGE ROAD, SINGAPORE 169857",Univerisity,Large,No,2009.0,2016.0,Certified,Yes,28340.0,0.736908962597036,83.0,,Water Cooled Chilled Water Plant,9.0,0.74,2016.0,0.0,N,807.8357510712741,635.206563161609,609.751023288638,Improved,Not benchmarked,Y,169857,1.28121772061506,103.834144730406,BUKIT MERAH
"2 SPORTS DRIVE 1, SINGAPORE 117561",Univerisity,Small,No,2017.0,,,No,9031.0,0.03321891263425977,80.0,,"Others (Split Units, Unitary Systems)",1.0,,,80.0,N,,,,Improved,Not benchmarked,Y,117561,0,0,NA
"5A ENGINEERING DRIVE 1, SINGAPORE 117411",Univerisity,Large,No,2006.0,2014.0,Gold,Yes,26049.0,0.6662443855810204,98.0,,"Others (Split Units, Unitary Systems)",0.0,,,0.0,N,,,,Improved,Not benchmarked,Y,117411,1.29989420522547,103.772057946174,QUEENSTOWN
"469A BUKIT TIMAH ROAD, SINGAPORE 259770",Univerisity,Large,No,1976.0,,,No,24982.0,0.6705014749262537,98.0,,Water Cooled Chilled Water Plant,16.0,,,0.0,N,262.3763808226859,255.3199619726203,246.30553078216315,Improved,Not benchmarked,Y,259770,1.31834209954134,103.817395994437,TANGLIN
